 I  J	QI  QM	QL  CP	DS7	DS9
           6           6   1.0002072315808748       -7.2706814373618180E-004  0.38486813819246241       -1.1067063814995168       -7.3747129486641375E-002  0.99727697300824136     
           7           6  0.99549641262716981       -1.4028817231822659E-003  0.12240391496261542      -0.53837772619547697        6.7628016881058406E-002  0.99771060500163833     
           8           6  0.99110601480857319       -1.8947125367974051E-003   4.5109548307605753E-002 -0.38824084263589742       0.10587071242494064       0.99437990338232174     
           9           6  0.98900217259052148       -1.9133333008324040E-003  -9.0186692556604060E-003 -0.26672956600502051       0.12186575900975047       0.99254659174316717     
          10           6  0.98788943509796756       -1.7188758594136322E-003  -4.0721597004568844E-002 -0.23511653260961263       0.13009931576102343       0.99150096724033177     
           1           7 -0.99600658979483614        5.0950427457559016E-003  -4.0705712074839001E-002  0.22974823961225332       -4.0573600178046523E-002 -0.99917655245136316     
           2           7 -0.99556601988083981        6.2020146775731144E-003  -3.8355059027732820E-002  0.21502041666255250       -4.8864982943985953E-002 -0.99880539317821271     
           3           7 -0.99437622895129330        6.9298908565301395E-003  -2.5868347058171436E-002  0.25670000486807354       -6.4938664596747714E-002 -0.99788925730282874     
           4           7 -0.99008856671778489        5.9005620996229113E-003   1.1182572697671513E-002  0.31686367115847930      -0.10319019839709984      -0.99466164244670008     
           5           7 -0.96053671396209661        3.7528533085153942E-003  0.28985337836649788       0.72790519707931989      -0.24242829140074817      -0.97016932724577198     
           6           7   1.0002072315808748       -2.6389754513544608E-003  0.37607638905690727       -1.0773629302266157       -7.3747129486641361E-002  0.99727697300824125     
           7           7  0.99549641262716981       -5.2724457532518166E-003  0.11982598796283778      -0.52385395072235763        6.7628016881058406E-002  0.99771060500163833     
           8           7  0.99110601480857319       -7.3037030834187527E-003   4.4196700878473653E-002 -0.37474406654725761       0.10587071242494063       0.99437990338232163     
           9           7  0.98900217259052148       -7.3989665429268769E-003  -8.6300825260576999E-003 -0.25499731074900872       0.12186575900975045       0.99254659174316728     
          10           7  0.98788943509796756       -6.6100131638946943E-003  -3.9596772156284564E-002 -0.22449822418174870       0.13009931576102343       0.99150096724033177     
           1           8 -0.99600658979483614        1.1771255376235152E-002  -3.5976246194922477E-002  0.20766323312338364       -4.0573600178046544E-002 -0.99917655245136339     
           2           8 -0.99556601988083981        1.4237353607874648E-002  -3.5321657517519263E-002  0.18952188193614589       -4.8864982943985953E-002 -0.99880539317821271     
           3           8 -0.99437622895129330        1.6227894788763055E-002  -2.6219595156183551E-002  0.22634001355174305       -6.4938664596747714E-002 -0.99788925730282885     
           4           8 -0.99008856671778489        1.4360339932016006E-002   6.0196472715373069E-003  0.28455872491564960      -0.10319019839709984      -0.99466164244670008     
           5           8 -0.96053671396209661        9.2672448367277852E-003  0.26660188688743536       0.68377732722254370      -0.24242829140074820      -0.97016932724577198     
           6           8   1.0002072315808748       -5.6186873219125555E-003  0.35145285799675136      -0.99730941918434324       -7.3747129486641361E-002  0.99727697300824136     
           7           8  0.99549641262716981       -1.2167787125882214E-002  0.11210512246999772      -0.48410483409195093        6.7628016881058406E-002  0.99771060500163833     
           8           8  0.99110601480857319       -1.7474701080253272E-002   4.1306662547534768E-002 -0.33857926519248793       0.10587071242494064       0.99437990338232174     
           9           8  0.98900217259052148       -1.7755242255109015E-002  -7.4856631661704394E-003 -0.22425268154263045       0.12186575900975045       0.99254659174316717     
          10           8  0.98788943509796756       -1.5688350037204549E-002  -3.6157953883501730E-002 -0.19667123682556364       0.13009931576102343       0.99150096724033177     
           1           9 -0.99600658979483614        2.0875942510481190E-002  -2.6440747211511788E-002  0.16226388410673884       -4.0573600178046537E-002 -0.99917655245136339     
           2           9 -0.99556601988083981        2.4484274130192094E-002  -2.8506198368558555E-002  0.14164577541352788       -4.8864982943985953E-002 -0.99880539317821271     
           3           9 -0.99437622895129330        2.8066736472272095E-002  -2.5648408958797334E-002  0.16903452004356390       -6.4938664596747700E-002 -0.99788925730282863     
           4           9 -0.99008856671778489        2.6824036982360182E-002  -4.1851604529212477E-003  0.21847086060425386      -0.10319019839709984      -0.99466164244670019     
           5           9 -0.96053671396209661        1.8729648472569395E-002  0.21588299919581044       0.58528600252565199      -0.24242829140074826      -0.97016932724577210     
           6           9   1.0002072315808748       -9.2119013496881983E-003  0.29671529596373414      -0.82641557857202330       -7.3747129486641375E-002  0.99727697300824136     
           7           9  0.99549641262716981       -2.2186206013561093E-002   9.3650263436615644E-002 -0.39768500771169568        6.7628016881058406E-002  0.99771060500163844     
           8           9  0.99110601480857319       -3.0975656525864741E-002   3.4204579640280154E-002 -0.26540662976769747       0.10587071242494064       0.99437990338232185     
           9           9  0.98900217259052148       -3.1536391863335698E-002  -4.6823719569905782E-003 -0.16636757383141601       0.12186575900975045       0.99254659174316728     
          10           9  0.98788943509796756       -2.8033867593087639E-002  -2.7640985283557202E-002 -0.14379042061149261       0.13009931576102346       0.99150096724033188     
           1          10 -0.99600658979483614        1.2851683258267044E-002  -1.5104115835302214E-002   9.6465866325778776E-002  -4.0573600178046537E-002 -0.99917655245136339     
           2          10 -0.99556601988083981        1.4811537128043655E-002  -1.9430506988394672E-002   8.1929686503958668E-002  -4.8864982943985946E-002 -0.99880539317821260     
           3          10 -0.99437622895129330        1.6958461219746424E-002  -2.2035365744623114E-002   9.5386989499719216E-002  -6.4938664596747714E-002 -0.99788925730282874     
           4          10 -0.99008856671778489        1.6831900608221526E-002  -1.4594789278468644E-002  0.12254101681648774      -0.10319019839709984      -0.99466164244670008     
           5          10 -0.96053671396209661        1.2243531459109823E-002  0.13318237710279446       0.41070965913174529      -0.24242829140074823      -0.97016932724577198     
           6          10   1.0002072315808748       -5.5051213353940840E-003  0.19996593964157366      -0.53931108638101655       -7.3747129486641375E-002  0.99727697300824136     
           7          10  0.99549641262716981       -1.3887982917748622E-002   6.4055071942098640E-002 -0.25776246481602028        6.7628016881058406E-002  0.99771060500163833     
